Index,AircraftLength,AircraftSpan,AircraftFuelCapacity,AircraftMLW,AircraftACN,AircraftARFF,ReferenceCruiseFL,ReferenceVclimb,ReferenceVcruise,ReferenceVdescent,ReferenceMLD,ReferenceMORA,ReferenceZpOpt,LiveAltitude,LiveFuelWeight,LiveMAR,LiveSR,LiveIAS,LiveVz,AircraftFlightPhase,AircraftGPSLatitude,AircraftGPSLongitude,Heading,AircraftFlapsPosition,AircraftSlatsPosition,AircraftSpoilersPosition,AircraftFuel,AircraftLandingGearAuxilary,AircraftLandingGearPrincipal,LiveCurrentWeight,CurrentWaypointName,CurrentWaypointEstimatedTimeOfArrival,CurrentWaypointPlannedAltitude,CurrentWaypointGPSLatitude,CurrentWaypointGPSLongitude,ReferenceDescentFL,AircraftAntiIcingState,AircraftIcingProbe
54,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1623.28,23000.0,38313.48254644407,26130.248198709,3169.5583320016003,682.1305610652503,0.09761903250653296,313.977207381931,-0.0009502251154458463,Cruise,45.10343033104,1.2890668055580001,351.3056887672979,0.0,0.0,0,6987.68,0.0,0.0,55327.537144525806,MAKOX,1.255750715370422,24000,45.332778,1.238056,0,0,0
55,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1623.07,23000.0,38321.24407888524,26137.41388564,3148.8609121585,682.3626997489141,0.09829412057661845,314.1223794267662,-848.9981332759098,Cruise,45.147599876564996,1.2796312309383,351.2499317366191,0.0,0.0,0,6942.05,0.0,0.0,55306.8397246827,MAKOX,1.0141481184659862,24000,45.332778,1.238056,0,0,0
56,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1622.9,23000.0,38327.893176038975,25784.311104333,3131.1299864152,793.7066948997526,0.11498063075836346,316.2496398736543,-1074.0524101822705,Cruise,45.191885765107,1.2700896745786001,351.1727006596344,0.0,0.0,0,6902.96,0.0,0.0,55289.1087989394,MAKOX,0.7707287394052229,24000,45.332778,1.238056,0,0,0
57,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1622.71,23000.0,38334.744688787825,25567.032942706002,3112.8592857516005,764.2291441378479,0.11136016019074879,316.5234771541296,-612.9542860519169,Cruise,45.23608220385199,1.260452564388,351.0616333252292,0.0,0.0,0,6862.68,0.0,0.0,55270.8380982758,MAKOX,0.530691827331865,24000,45.332778,1.238056,0,0,0
58,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1622.51,23000.0,38342.3140114622,25457.888425223,3092.6744252866,688.1882485685461,0.10093430337253433,317.40454596136226,-391.3729226558678,Cruise,45.280271707777004,1.2506518279658998,350.89386805451204,0.0,0.0,0,6818.18,0.0,0.0,55250.6532378108,MAKOX,0.28840884012501117,24000,45.332778,1.238056,0,0,0
59,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1622.3,23000.0,38350.07554390336,25402.038911907002,3071.9770054435003,667.0577873358037,0.09849433187437578,317.8319901610036,-273.7343078068768,Cruise,45.324472236472,1.2405312645078999,350.5115471780704,0.0,0.0,0,6772.55,0.0,0.0,55229.955817967704,MAKOX,0.046269492276376264,24000,45.332778,1.238056,0,0,0
60,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1622.09,23000.0,38357.993565712175,25371.343751635,3050.86228062,649.3518884148818,0.09654354570545375,317.94768094248207,-212.1179714193524,Cruise,45.368467409061005,1.2287343662183998,347.6799738636832,0.0,0.0,0,6726.0,0.0,0.0,55208.841093144205,LMG,2.6296505968043067,24000,45.815917,1.025583,0,0,0
61,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1621.88,23000.0,38366.015346775624,25357.275581209,3029.4708644508,636.8137660822142,0.09534795953821536,318.18448607125964,-188.9160032529697,Cruise,45.411898614006994,1.2132483795696,344.79619323333964,0.0,0.0,0,6678.84,0.0,0.0,55187.449676975004,LMG,2.3828441475905193,24000,45.815917,1.025583,0,0,0
62,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1621.67,23000.0,38373.996304525775,25349.876280348,3008.1883104504,635.5869197133795,0.09583754323233384,318.2219419021518,-173.48637037143223,Cruise,45.454957849103,1.1957361093188001,343.337104868203,0.0,0.0,0,6631.92,0.0,0.0,55166.1671229746,LMG,2.1348313974746294,24000,45.815917,1.025583,0,0,0
63,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1621.45,23000.0,38381.96025256205,25345.991199247997,2986.9511156870003,632.4392133884659,0.09604094294520446,318.23406312140094,-165.4061999313289,Cruise,45.497790468603,1.1771395599691001,342.52802202568853,0.0,0.0,0,6585.1,0.0,0.0,55144.929928211204,LMG,1.8855156629392547,24000,45.815917,1.025583,0,0,0
64,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1621.24,23000.0,38389.9276025411,25343.915775605,2965.7048490762004,627.6747882033321,0.0960002796161872,318.2439720856596,-161.16360077532337,Cruise,45.540487172657,1.1579168781491,342.05228518055304,0.0,0.0,0,6538.26,0.0,0.0,55123.6836616004,LMG,1.6353300985116355,24000,45.815917,1.025583,0,0,0
65,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1621.03,23000.0,38397.894952520146,25342.778038072003,2944.4585824654,623.1786983949381,0.09600036639054908,318.24906549387435,-158.9233621206135,Cruise,45.583098117566,1.1383040483077,341.7484824820485,0.0,0.0,0,6491.42,0.0,0.0,55102.4373949896,LMG,1.3845848812637638,24000,45.815917,1.025583,0,0,0
66,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1620.82,23000.0,38405.86740541336,25342.157036697,2923.1987080835,618.2836318673957,0.09593899215110374,318.2519292980675,-157.5935499853476,Cruise,45.625649710569,1.118421539677,341.5338710053759,0.0,0.0,0,6444.55,0.0,0.0,55081.1775206077,LMG,1.1334120409258752,24000,45.815917,1.025583,0,0,0
67,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1620.6,23000.0,38413.833054421026,25341.800143606,2901.9569773964004,614.3149493784463,0.09602091829252393,318.2533690160186,-156.87156051365488,Cruise,45.668154654294995,1.0983264801744002,341.3555517313238,0.0,0.0,0,6397.72,0.0,0.0,55059.9357899206,LMG,0.8818775028133418,24000,45.815917,1.025583,0,0,0
68,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1620.39,23000.0,38421.80720828562,25341.577767702,2880.6925670908004,609.1625985944452,0.09591842946672333,318.25405143019907,-156.42761779154358,Cruise,45.710615820243994,1.0780328742924001,341.1781618689658,0.0,0.0,0,6350.84,0.0,0.0,55038.671379615,LMG,0.6299983074506854,24000,45.815917,1.025583,0,0,0
69,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1620.18,23000.0,38429.774558264675,25341.41654007,2859.44630048,605.1844457415183,0.09600007070772815,318.2538363560773,-156.11069932739017,Cruise,45.75302683962,1.0575160284538,340.96055127090233,0.0,0.0,0,6304.0,0.0,0.0,55017.4251130042,LMG,0.3777525175847775,24000,45.815917,1.025583,0,0,0
70,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1619.97,23000.0,38437.75211407205,25341.253651918,2838.172818327,599.9045345562583,0.09587581060815047,318.2497262025105,-155.88989095167236,Cruise,45.795360780925996,1.0366687556183,340.58463090351614,0.0,0.0,0,6257.1,0.0,0.0,54996.1516308512,LMG,0.12504844517137415,24000,45.815917,1.025583,0,0,0
71,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1619.75,23000.0,38445.78410096382,25340.464292429,2816.7541866156002,591.3130563748512,0.0952213338059433,318.237197014214,-140.36033632824413,Cruise,45.837440892177,1.0148197285772,340.329238131491,0.0,0.0,0,6209.88,0.0,0.0,54974.7329991398,BALAN,3.6784019693217065,24000,46.516111,1.033333,0,0,0
72,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1619.51,23000.0,38455.03398336905,25341.831715465,2792.0878335350003,507.24080673015874,0.08240448488833706,317.15595277385995,-167.04536708902555,Cruise,45.881015695984004,1.0016521309949,358.6185807361547,0.0,0.0,0,6155.5,0.0,0.0,54950.066646059204,BALAN,3.4579586663980533,24000,46.516111,1.033333,0,0,0
73,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1619.22,23000.0,38465.69907396867,25343.19983774,2763.647591936,436.65090110342453,0.07166670514433832,318.02400898652695,-159.98678026717488,Cruise,45.925705969842994,1.0021465286574,7.997958750833957,0.0,0.0,0,6092.8,0.0,0.0,54921.6264044602,BALAN,3.207450984195487,24000,46.516111,1.033333,0,0,0
74,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1618.95,23000.0,38475.98995086305,25347.144344896,2736.205253551,450.42695695135154,0.07466919035050504,319.70469141723663,-158.05534725095555,Cruise,45.97031974632999,1.0087713973519001,6.1284489375732445,0.0,0.0,0,6032.3,0.0,0.0,54894.184066075206,BALAN,2.949407903949542,24000,46.516111,1.033333,0,0,0
75,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1618.74,23000.0,38483.86544838717,25345.455355416,2715.20392682,582.0492693189378,0.0972350934378446,318.61480673167245,-236.59966018383682,Cruise,46.015161306918,1.0137610412517,4.14622047658244,0.0,0.0,0,5986.0,0.0,0.0,54873.1827393442,BALAN,2.716811825215573,24000,46.516111,1.033333,0,0,0
76,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1618.53,23000.0,38491.78857311015,25345.080041307003,2694.0755942254,573.2549688844442,0.0965169947376081,318.17596206878284,-163.16553115702175,Cruise,46.05990974798,1.0174460277013,2.9033944339874314,0.0,0.0,0,5939.42,0.0,0.0,54852.0544067496,BALAN,2.478128089391128,24000,46.516111,1.033333,0,0,0
77,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1618.31,23000.0,38499.80355028805,25345.400888171,2672.702321751,562.3054828655897,0.09543055901186119,318.24016520853894,-163.8695795897581,Cruise,46.10468147258,1.0202062156426999,2.217764860961756,0.0,0.0,0,5892.3,0.0,0.0,54830.681134275204,BALAN,2.235106119220728,24000,46.516111,1.033333,0,0,0
78,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1618.1,23000.0,38507.80491969485,25345.536426518,2651.3653366662,558.7655873812545,0.09559293981469677,318.23987215457515,-164.18674512041238,Cruise,46.149471924482,1.0224076089071,1.8058448699063832,0.0,0.0,0,5845.26,0.0,0.0,54809.3441491904,BALAN,1.9924107506743252,24000,46.516111,1.033333,0,0,0
79,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1617.89,23000.0,38515.792681330546,25345.608313577002,2630.064638971,555.2134167054287,0.09575451713526872,318.2353388940675,-164.32603015176053,Cruise,46.194268593084004,1.0242786934436998,1.56296659383987,0.0,0.0,0,5798.3,0.0,0.0,54788.04345149521,BALAN,1.7495791145295443,24000,46.516111,1.033333,0,0,0
80,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1617.67,23000.0,38523.78044296625,25345.645997011,2608.7639412758003,550.7144438803612,0.09575411015178395,318.2338271430418,-164.4023184835757,Cruise,46.239068319396,1.0259505580696,1.4126033412782133,0.0,0.0,0,5751.34,0.0,0.0,54766.742753800005,BALAN,1.5065591553473416,24000,46.516111,1.033333,0,0,0
81,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1617.46,23000.0,38531.7750084875,25345.664383822,2587.4450998858,545.747793878497,0.09567238170910165,318.23296586901347,-164.4400843091559,Cruise,46.283869769310996,1.0274921205603,1.30951879958437,0.0,0.0,0,5704.34,0.0,0.0,54745.42391241,BALAN,1.2633622907480186,24000,46.516111,1.033333,0,0,0
82,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1617.25,23000.0,38539.7627701232,25345.672289609,2566.1444021906,541.7152202328894,0.09575372703139781,318.23244281196105,-164.45662406293792,Cruise,46.328672312136,1.0289363800518,1.2275224771969229,0.0,0.0,0,5657.38,0.0,0.0,54724.123214714804,BALAN,1.0199889244704121,24000,46.516111,1.033333,0,0,0
83,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1617.03,23000.0,38547.75733564445,25345.67455537,2544.8255608006,536.7570014658576,0.0956721294218676,318.2320837306266,-164.46186110577744,Cruise,46.373475716602,1.0302942706981,1.149567871319032,0.0,0.0,0,5610.38,0.0,0.0,54702.804373324805,BALAN,0.7764397718839865,24000,46.516111,1.033333,0,0,0
